Random,Handshake
0,5
3,8
4,9
5,10
6,11
6,16
6,21
7,22
7,27
8,28
9,29
10,30
10,35
11,36
11,41
12,42
12,47
13,48
13,53
13,58
13,63
14,64
14,69
14,74
14,79
15,80
16,81
17,82
18,83
19,84
20,85
21,86
22,87
23,88
24,89
25,90
25,95
25,100
26,101
27,102
27,107
28,108
29,109
29,114
29,119
29,124
30,125
30,130
31,131
32,132
32,137
33,138
34,139
35,140
36,141
36,146
36,151
36,156
37,157
37,162
38,163
38,168
39,169
40,170
41,171
41,176
42,177
42,182
42,187
43,188
44,189
45,190
45,195
46,196
47,197
48,198
49,199
49,204
50,205
50,210
51,211
51,216
52,217
52,222
52,227
53,228
53,233
53,238
53,243
54,244
55,245
56,246
57,247
58,248
58,253
58,258
58,263
58,268
58,273
59,274
