Random vs Random;204
Random vs Random;212
Random vs TitForTat;211
TitForTat vs Random;211
Random vs TitForTatWithForgiveness;228
TitForTatWithForgiveness vs Random;208
Random vs Handshake;48
Handshake vs Random;151
Random vs Pavlov;57
Pavlov vs Random;209
TitForTat vs TitForTat;300
TitForTat vs TitForTat;300
Random vs TitForTatWithForgiveness;224
TitForTatWithForgiveness vs Random;189
TitForTat vs Handshake;102
Handshake vs TitForTat;107
Random vs Pavlov;56
Pavlov vs Random;207
TitForTatWithForgiveness vs TitForTatWithForgiveness;300
TitForTatWithForgiveness vs TitForTatWithForgiveness;300
TitForTatWithForgiveness vs Handshake;89
Handshake vs TitForTatWithForgiveness;127
TitForTatWithForgiveness vs Pavlov;300
Pavlov vs TitForTatWithForgiveness;300
Handshake vs Handshake;298
Handshake vs Handshake;298
TitForTatWithForgiveness vs Pavlov;300
Pavlov vs TitForTatWithForgiveness;300
Pavlov vs Pavlov;300
Pavlov vs Pavlov;300
