Random,TitForTatWithForgiveness
5,06,1
6,6
11,6
11,11
16,11
16,16
21,16
21,21
26,21
26,26
31,26
32,27
33,28
33,33
36,36
39,39
42,42
47,42
48,43
48,48
53,48
54,49
54,54
59,54
60,55
60,60
63,63
68,63
68,68
71,71
76,71
77,72
78,73
78,78
83,78
83,83
86,86
89,89
94,89
95,90
95,95
98,98
101,101
104,104
109,104
110,105
113,108
118,108
119,109
119,114
124,114
124,119
127,122
130,125
133,128
136,131
139,134
144,134
145,135
145,140
148,143
151,146
154,149
157,152
160,155
165,155
166,156
166,161
171,161
171,166
174,169
179,169
179,174
184,174
185,175
186,176
186,181
191,181
192,182
192,187
197,187
198,188
199,189
199,194
202,197
207,197
207,202
212,202
213,203
214,204
214,209
217,212
220,215
223,218
226,221
229,224
232,227
237,227
238,228
