Random,Pavlov
3,3
6,6
9,9
12,12
15,15
20,15
23,18
24,19
24,24
27,27
28,28
33,28
38,28
43,28
44,29
45,30
50,30
53,33
53,38
53,43
53,48
53,53
54,54
54,59
54,64
57,67
57,72
62,72
65,75
65,80
68,83
73,83
78,83
78,88
81,91
82,92
82,97
83,98
88,98
89,99
89,104
92,107
97,107
100,110
100,115
105,115
106,116
107,117
107,122
107,127
108,128
113,128
116,131
117,132
120,135
121,136
122,137
123,138
124,139
124,144
124,149
127,152
132,152
137,152
138,153
139,154
144,154
147,157
152,157
157,157
157,162
157,167
158,168
161,171
164,174
167,177
167,182
168,183
171,186
174,189
175,190
178,193
181,196
182,197
183,198
186,201
189,204
190,205
190,210
193,213
196,216
197,217
202,217
207,217
208,218
208,223
208,228
211,231
211,236
212,237
