TitForTatWithForgiveness;Handshake
0;55;5
5;10
6;11
7;12
8;13
9;14
9;19
10;20
11;21
12;22
13;23
13;28
14;29
15;30
16;31
17;32
18;33
19;34
20;35
21;36
22;37
22;42
23;43
24;44
25;45
26;46
27;47
28;48
29;49
30;50
31;51
32;52
33;53
34;54
35;55
36;56
37;57
38;58
39;59
40;60
41;61
41;66
42;67
43;68
44;69
45;70
46;71
47;72
48;73
49;74
50;75
51;76
52;77
53;78
54;79
55;80
56;81
57;82
58;83
59;84
60;85
61;86
62;87
62;92
62;97
62;102
63;103
64;104
65;105
65;110
66;111
67;112
68;113
69;114
70;115
70;120
71;121
72;122
72;127
73;128
73;133
74;134
75;135
76;136
77;137
78;138
79;139
80;140
80;145
81;146
82;147
82;152
83;153
84;154
85;155
86;156
87;157
88;158
89;159
