Random;TitForTatWithForgiveness
5;06;1
6;6
11;6
12;7
12;12
17;12
18;13
19;14
22;17
25;20
30;20
31;21
32;22
32;27
35;30
38;33
43;33
44;34
45;35
46;36
47;37
47;42
50;45
55;45
56;46
57;47
58;48
61;51
64;54
67;57
72;57
77;57
78;58
78;63
81;66
86;66
87;67
88;68
89;69
90;70
91;71
91;76
96;76
96;81
99;84
102;87
107;87
108;88
108;93
111;96
114;99
117;102
120;105
125;105
126;106
126;111
131;111
132;112
133;113
133;118
136;121
141;121
142;122
143;123
144;124
147;127
150;130
153;133
158;133
158;138
161;141
164;144
169;144
170;145
171;146
172;147
173;148
174;149
179;149
180;150
181;151
182;152
183;153
183;158
188;158
189;159
189;164
194;164
195;165
195;170
198;173
201;176
204;179
209;179
209;184
214;184
214;189
219;189
219;194
