Random vs Random;222.4
Random vs Random;224.4
Random vs TitForTat;225.1
TitForTat vs Random;221.1
Random vs TitForTatWithForgiveness;243.8
TitForTatWithForgiveness vs Random;213.3
Random vs Handshake;87.3
Handshake vs Random;285.3
Random vs Pavlov;193.2
Pavlov vs Random;237.2
TitForTat vs TitForTat;300.0
TitForTat vs TitForTat;300.0
Random vs TitForTatWithForgiveness;251.1
TitForTatWithForgiveness vs Random;222.1
TitForTat vs Handshake;102.0
Handshake vs TitForTat;107.0
Random vs Pavlov;202.2
Pavlov vs Random;234.2
TitForTatWithForgiveness vs TitForTatWithForgiveness;300.0
TitForTatWithForgiveness vs TitForTatWithForgiveness;300.0
TitForTatWithForgiveness vs Handshake;91.0
Handshake vs TitForTatWithForgiveness;151.0
TitForTatWithForgiveness vs Pavlov;300.0
Pavlov vs TitForTatWithForgiveness;300.0
Handshake vs Handshake;298.0
Handshake vs Handshake;298.0
TitForTatWithForgiveness vs Pavlov;300.0
Pavlov vs TitForTatWithForgiveness;300.0
Pavlov vs Pavlov;300.0
Pavlov vs Pavlov;300.0
