TitForTatWithForgiveness,Handshake
0,5
5,5
5,10
6,11
7,12
8,13
9,14
10,15
11,16
12,17
13,18
14,19
15,20
16,21
17,22
18,23
19,24
20,25
21,26
22,27
22,32
23,33
24,34
25,35
26,36
26,41
26,46
27,47
28,48
29,49
30,50
31,51
32,52
33,53
34,54
35,55
36,56
37,57
38,58
39,59
40,60
41,61
42,62
43,63
44,64
45,65
46,66
47,67
48,68
49,69
50,70
51,71
52,72
53,73
54,74
55,75
56,76
57,77
58,78
59,79
60,80
61,81
62,82
63,83
64,84
64,89
64,94
65,95
65,100
66,101
67,102
68,103
69,104
70,105
71,106
72,107
73,108
74,109
75,110
76,111
77,112
78,113
79,114
79,119
80,120
81,121
82,122
83,123
84,124
85,125
86,126
87,127
88,128
89,129
90,130
91,131
92,132
93,133
94,134
95,135
