TitForTatWithForgiveness,Handshake
0,55,5
5,10
6,11
6,16
7,17
8,18
9,19
10,20
11,21
11,26
12,27
13,28
14,29
15,30
16,31
17,32
18,33
19,34
20,35
21,36
22,37
23,38
24,39
25,40
26,41
27,42
28,43
29,44
29,49
30,50
31,51
32,52
33,53
34,54
35,55
36,56
37,57
38,58
39,59
39,64
40,65
41,66
42,67
43,68
43,73
44,74
45,75
45,80
46,81
47,82
48,83
49,84
50,85
51,86
52,87
53,88
54,89
55,90
56,91
56,96
57,97
58,98
59,99
60,100
61,101
62,102
63,103
64,104
65,105
66,106
67,107
68,108
69,109
70,110
70,115
71,116
72,117
73,118
74,119
75,120
76,121
77,122
77,127
78,128
79,129
80,130
81,131
81,136
82,137
83,138
83,143
84,144
85,145
85,150
86,151
87,152
88,153
89,154
89,159
