Random,Handshake
0,5
5,5
6,6
7,7
7,12
7,17
7,22
7,27
8,28
9,29
10,30
11,31
11,36
12,37
12,42
12,47
12,52
13,53
14,54
14,59
15,60
16,61
17,62
18,63
19,64
20,65
21,66
22,67
22,72
22,77
23,78
23,83
23,88
24,89
24,94
25,95
25,100
25,105
25,110
25,115
26,116
26,121
26,126
27,127
28,128
29,129
29,134
29,139
30,140
30,145
30,150
30,155
30,160
30,165
30,170
31,171
32,172
32,177
32,182
33,183
33,188
34,189
35,190
35,195
36,196
36,201
37,202
38,203
39,204
39,209
39,214
40,215
40,220
40,225
40,230
40,235
40,240
40,245
40,250
40,255
41,256
42,257
42,262
43,263
44,264
44,269
45,270
46,271
46,276
46,281
46,286
46,291
46,296
46,301
46,306
46,311
46,316
46,321
46,326
47,327
