TitForTatWithForgiveness,Handshake
0,5
5,5
5,10
6,11
7,12
8,13
9,14
10,15
11,16
12,17
13,18
14,19
15,20
16,21
17,22
18,23
19,24
20,25
21,26
22,27
23,28
24,29
25,30
26,31
27,32
28,33
29,34
30,35
31,36
32,37
33,38
34,39
34,44
35,45
36,46
37,47
38,48
39,49
40,50
41,51
42,52
43,53
44,54
44,59
45,60
46,61
47,62
48,63
49,64
50,65
50,70
51,71
52,72
53,73
54,74
55,75
56,76
56,81
57,82
58,83
59,84
60,85
61,86
62,87
63,88
63,93
64,94
65,95
66,96
67,97
68,98
69,99
70,100
70,105
71,106
71,111
71,116
72,117
73,118
74,119
74,124
75,125
76,126
77,127
78,128
79,129
80,130
81,131
82,132
82,137
83,138
84,139
85,140
86,141
87,142
87,147
88,148
88,153
89,154
90,155
