Random,TitForTatWithForgiveness
3,3
8,3
9,4
9,9
14,9
14,14
19,14
20,15
21,16
22,17
23,18
23,23
26,26
31,26
31,31
34,34
37,37
42,37
43,38
44,39
45,40
45,45
50,45
50,50
53,53
58,53
58,58
63,58
64,59
64,64
69,64
70,65
70,70
73,73
76,76
79,79
84,79
84,84
89,84
89,89
94,89
94,94
99,94
100,95
105,95
105,100
108,103
111,106
114,109
117,112
120,115
125,115
128,118
133,118
133,123
136,126
141,126
142,127
143,128
143,133
148,133
148,138
153,138
153,143
156,146
161,146
162,147
162,152
165,155
170,155
171,156
171,161
174,164
177,167
180,170
185,170
185,175
190,175
190,180
193,183
198,183
199,184
199,189
202,192
207,192
207,197
210,200
213,203
216,206
219,209
224,209
229,209
230,210
230,215
233,218
236,221
241,221
241,226
244,229
249,229
