Random,TitForTat
3,3
6,6
11,6
11,11
16,11
17,12
18,13
19,14
19,19
22,22
25,25
30,25
31,26
32,27
33,28
33,33
38,33
39,34
40,35
41,36
41,41
46,41
47,42
47,47
50,50
55,50
56,51
57,52
58,53
58,58
61,61
66,61
67,62
67,67
70,70
73,73
78,73
78,78
83,78
83,83
88,83
89,84
89,89
94,89
94,94
99,94
100,95
101,96
101,101
106,101
106,106
111,106
111,111
114,114
119,114
119,119
122,122
127,122
127,127
132,127
133,128
133,133
138,133
138,138
141,141
146,141
147,142
147,147
150,150
155,150
155,155
158,158
163,158
164,159
165,160
165,165
170,165
170,170
173,173
176,176
181,176
182,177
182,182
187,182
188,183
188,188
193,188
194,189
194,194
199,194
200,195
201,196
201,201
204,204
209,204
209,209
212,212
215,215
220,215
221,216
