TitForTatWithForgiveness;Handshake
0;53;8
3;13
4;14
5;15
6;16
7;17
8;18
8;23
9;24
10;25
11;26
12;27
13;28
14;29
15;30
16;31
17;32
18;33
19;34
20;35
21;36
22;37
23;38
24;39
25;40
26;41
26;46
27;47
28;48
29;49
29;54
30;55
30;60
31;61
32;62
33;63
34;64
35;65
36;66
37;67
38;68
39;69
40;70
41;71
42;72
43;73
44;74
45;75
46;76
46;81
47;82
48;83
49;84
50;85
51;86
52;87
53;88
54;89
55;90
56;91
57;92
58;93
58;98
59;99
60;100
61;101
62;102
62;107
63;108
64;109
65;110
66;111
67;112
68;113
69;114
70;115
71;116
72;117
73;118
74;119
75;120
76;121
76;126
77;127
78;128
79;129
80;130
80;135
80;140
81;141
82;142
83;143
84;144
85;145
86;146
86;151
87;152
88;153
89;154
