Random vs Random;253
Random vs Random;249
Random vs TitForTat;252
TitForTat vs Random;247
Random vs TitForTatWithForgiveness;267
TitForTatWithForgiveness vs Random;224
Random vs Handshake;396
Handshake vs Random;318
Random vs Pavlov;244
Pavlov vs Random;302
TitForTat vs TitForTat;300
TitForTat vs TitForTat;300
Random vs TitForTatWithForgiveness;251
TitForTatWithForgiveness vs Random;222
TitForTat vs Handshake;102
Handshake vs TitForTat;107
Random vs Pavlov;242
Pavlov vs Random;316
TitForTatWithForgiveness vs TitForTatWithForgiveness;300
TitForTatWithForgiveness vs TitForTatWithForgiveness;300
TitForTatWithForgiveness vs Handshake;97
Handshake vs TitForTatWithForgiveness;159
TitForTatWithForgiveness vs Pavlov;300
Pavlov vs TitForTatWithForgiveness;300
Handshake vs Handshake;298
Handshake vs Handshake;298
TitForTatWithForgiveness vs Pavlov;300
Pavlov vs TitForTatWithForgiveness;300
Pavlov vs Pavlov;300
Pavlov vs Pavlov;300
