Random;Pavlov
3;36;6
9;9
14;9
14;14
17;17
18;18
21;21
21;26
21;31
22;32
27;32
32;32
37;32
37;37
38;38
43;38
44;39
44;44
47;47
52;47
57;47
57;52
62;52
62;57
67;57
67;62
70;65
75;65
75;70
75;75
80;75
85;75
88;78
88;83
93;83
96;86
96;91
97;92
98;93
101;96
106;96
111;96
111;101
111;106
114;109
115;110
118;113
118;118
118;123
118;128
118;133
118;138
119;139
122;142
125;145
128;148
131;151
132;152
135;155
138;158
143;158
143;163
144;164
147;167
152;167
152;172
152;177
152;182
152;187
152;192
157;192
158;193
161;196
162;197
163;198
168;198
173;198
176;201
181;201
181;206
186;206
186;211
189;214
189;219
189;224
192;227
197;227
200;230
201;231
201;236
202;237
202;242
207;242
208;243
208;248
208;253
213;253
216;256
217;257
