Random;TitForTat
5;05;5
8;8
11;11
16;11
17;12
17;17
20;20
23;23
26;26
29;29
32;32
37;32
37;37
40;40
45;40
46;41
47;42
47;47
52;47
52;52
57;52
57;57
62;57
63;58
63;63
68;63
69;64
70;65
71;66
71;71
76;71
77;72
78;73
79;74
80;75
80;80
85;80
86;81
86;86
91;86
91;91
96;91
97;92
98;93
98;98
103;98
104;99
105;100
105;105
110;105
111;106
112;107
113;108
114;109
114;114
117;117
122;117
123;118
123;123
126;126
129;129
134;129
134;134
139;134
139;139
144;139
144;144
149;144
150;145
150;150
153;153
156;156
161;156
162;157
162;162
165;165
170;165
171;166
171;171
174;174
177;177
180;180
185;180
185;185
190;185
191;186
192;187
193;188
194;189
195;190
196;191
196;196
199;199
204;199
205;200
206;201
206;206
211;206
211;211
