Random,Pavlov
3,38,3
9,4
9,9
14,9
15,10
16,11
16,16
16,21
16,26
16,31
17,32
17,37
18,38
19,39
20,40
21,41
21,46
21,51
21,56
21,61
22,62
23,63
24,64
25,65
26,66
26,71
26,76
26,81
27,82
27,87
27,92
28,93
29,94
29,99
30,100
31,101
31,106
32,107
33,108
34,109
35,110
36,111
36,116
36,121
36,126
36,131
37,132
38,133
38,138
38,143
39,144
39,149
40,150
41,151
42,152
42,157
42,162
42,167
43,168
43,173
43,178
44,179
45,180
46,181
46,186
47,187
47,192
48,193
48,198
49,199
49,204
50,205
50,210
51,211
51,216
51,221
52,222
52,227
53,228
54,229
54,234
55,235
56,236
57,237
57,242
58,243
58,248
58,253
58,258
58,263
58,268
58,273
59,274
60,275
60,280
60,285
61,286
61,291
62,292
