Random;TitForTat
5;05;5
8;8
11;11
14;14
17;17
22;17
22;22
25;25
28;28
31;31
34;34
37;37
42;37
42;42
47;42
48;43
48;48
53;48
53;53
56;56
61;56
62;57
62;62
65;65
70;65
71;66
71;71
76;71
76;76
79;79
84;79
85;80
85;85
88;88
93;88
93;93
98;93
98;98
101;101
106;101
107;102
108;103
108;108
111;111
116;111
117;112
118;113
119;114
120;115
121;116
121;121
126;121
127;122
127;127
132;127
133;128
133;133
138;133
139;134
139;139
144;139
145;140
146;141
146;146
149;149
152;152
157;152
157;157
160;160
163;163
166;166
169;169
174;169
175;170
176;171
177;172
177;177
180;180
185;180
185;185
190;185
190;190
195;190
196;191
196;196
199;199
204;199
204;204
209;204
210;205
211;206
212;207
212;212
215;215
220;215
220;220
223;223
228;223
229;224
