Random,Pavlov
5,0
5,5
8,8
13,8
13,13
18,13
19,14
20,15
21,16
21,21
26,21
26,26
29,29
32,32
35,35
38,38
43,38
43,43
48,43
48,48
53,48
54,49
54,54
57,57
62,57
62,62
67,62
67,67
70,70
73,73
78,73
78,78
81,81
84,84
89,84
89,89
94,89
94,94
97,97
100,100
105,100
106,101
106,106
109,109
114,109
115,110
116,111
116,116
119,119
124,119
124,124
127,127
132,127
132,132
135,135
138,138
141,141
146,141
147,142
148,143
149,144
149,149
152,152
155,155
160,155
161,156
162,157
163,158
163,163
168,163
169,164
170,165
170,170
175,170
175,175
180,175
180,180
183,183
186,186
191,186
191,191
194,194
199,194
200,195
201,196
201,201
204,204
209,204
210,205
211,206
212,207
213,208
213,213
216,216
221,216
221,221
226,221
226,226
229,229
234,229
