Random,TitForTat
5,0
6,1
6,6
9,9
12,12
17,12
17,17
22,17
23,18
23,23
26,26
31,26
32,27
32,32
35,35
40,35
40,40
45,40
46,41
46,46
49,49
52,52
55,55
60,55
60,60
65,60
66,61
66,66
71,66
71,71
76,71
77,72
77,77
80,80
83,83
88,83
89,84
90,85
91,86
91,91
96,91
96,96
99,99
104,99
105,100
106,101
107,102
108,103
109,104
109,109
112,112
115,115
120,115
121,116
122,117
122,122
125,125
130,125
130,130
135,130
136,131
136,136
139,139
144,139
145,140
145,145
150,145
151,146
152,147
153,148
153,153
158,153
158,158
163,158
163,163
168,163
168,168
171,171
176,171
176,176
179,179
184,179
184,184
187,187
190,190
195,190
195,195
198,198
203,198
204,199
205,200
206,201
206,206
211,206
212,207
212,212
215,215
218,218
221,221
224,224
